LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
4,Afghanistan,2030,0-4,0,5,3020.571,2871.955,5892.526
8,Albania,2030,0-4,0,5,68.824,63.581,132.405
12,Algeria,2030,0-4,0,5,2116.681,2026.749,4143.43
24,Angola,2030,0-4,0,5,3714.206,3649.187,7363.393
28,Antigua and Barbuda,2030,0-4,0,5,3.452,3.354,6.806
32,Argentina,2030,0-4,0,5,1867.24,1797.343,3664.583
51,Armenia,2030,0-4,0,5,81.923,76.229,158.152
533,Aruba,2030,0-4,0,5,3.38,3.227,6.607
36,Australia,2030,0-4,0,5,838.332,794.035,1632.367
40,Austria,2030,0-4,0,5,225.358,213.747,439.105
31,Azerbaijan,2030,0-4,0,5,334.125,303.299,637.424
44,Bahamas,2030,0-4,0,5,14.086,13.35,27.436
48,Bahrain,2030,0-4,0,5,56.912,54.771,111.683
50,Bangladesh,2030,0-4,0,5,6626.425,6340.916,12967.341
52,Barbados,2030,0-4,0,5,7.616,7.359,14.975
112,Belarus,2030,0-4,0,5,234.26,220.495,454.755
56,Belgium,2030,0-4,0,5,312.163,297.525,609.688
84,Belize,2030,0-4,0,5,20.44,19.896,40.336
204,Benin,2030,0-4,0,5,1155.64,1122.091,2277.731
64,Bhutan,2030,0-4,0,5,28.673,27.735,56.408
68,Bolivia (Plurinational State of),2030,0-4,0,5,617.924,591.381,1209.305
70,Bosnia and Herzegovina,2030,0-4,0,5,58.301,55.618,113.919
72,Botswana,2030,0-4,0,5,134.954,131.852,266.806
76,Brazil,2030,0-4,0,5,6548.483,6247.917,12796.4
96,Brunei Darussalam,2030,0-4,0,5,14.219,13.494,27.713
100,Bulgaria,2030,0-4,0,5,141.053,133.235,274.288
854,Burkina Faso,2030,0-4,0,5,2116.66,2041.956,4158.616
108,Burundi,2030,0-4,0,5,1209.483,1185.157,2394.64
132,Cabo Verde,2030,0-4,0,5,23.367,22.77,46.137
116,Cambodia,2030,0-4,0,5,849.72,814.784,1664.504
120,Cameroon,2030,0-4,0,5,2389.496,2344.55,4734.046
124,Canada,2030,0-4,0,5,1035.917,983.61,2019.527
148,Chad,2030,0-4,0,5,1761.558,1736.175,3497.733
830,Channel Islands,2030,0-4,0,5,4.59,4.349,8.939
152,Chile,2030,0-4,0,5,529.784,509.629,1039.413
